ITEM_NO,DESCR,STK_UNIT
10260,Chamaecyparis p. Golden Mop,"5 Gal 18/24"""
10262,Ilex crenata Steeds,"10 Gal 42/48"""
10263,Ilex crenata Steeds,20 gal
10264,Viburnum rhytidophyllum,7 gal
10266,Kalmia latifolia Olympic Fire,5 gal
10269,Viburnum pl. f. tom. Shasta,10 gal
10271,Rhododendron Hino Crimson,3 GAL
10272,Rhododendron Stewartstonian,5 gal
10273,Caryopteris x Beyond Midnight,2 GAL
10275,Hamamelis Vernalis,3 GAL
10276,Ilex glabra Shamrock,5 gal
10294,Amelanchier x gr. Autumn Bril,BR
10299,Buxus m. Green Gem,"24/30"""
10309,Chamaecyparis o. Nana Gracilli,2/3'
10309,Chamaecyparis o. Nana Gracilli,2/3'
10344,Picea omorika,7/8'
10441,Hydrangea petiolaris,2 GAL
10443,Ilex v. Mr. Poppins® PW,2 GAL
10481,Picea pungens Glauca,7/8'
10482,Picea omorika,8/10'
10483,Acer j. Aconitifolium,"2/2.5"""
10484,Acer p. v. d. Orangeola,3/4'w stnd
10485,Acer p. v. d. Tamukeyama,5/6'w stnd
10486,Acer p. v. d. Waterfall,4/5'w stnd
10487,Acer pal. Kiyohime,4/5'w stnd
10488,Acer pal. Ryusen,"2/2.5"" stnd"
10489,Acer pal. Twomblys Red Sentin,4/5'
10490,Aesculus parviflora,3/4'
10491,Metasequoia glyp. Soul Fire,10/12'
10492,Taxodium d. Peve Minaret,9/10'
10493,Viburnum pl. f. tom. Popcorn,4/5'
10494,Viburnum Summer Snowflake,6/7'
10495,Hamamelis x in. Arnold Promise,3/4'
10496,Acer pal. Bloodgood,"2.5/3"""
10497,Acer pal. Moonfire,"2.5/3"""
10498,Acer pal. Trompenberg,"15 Gal 6"""
10499,Viburnum rhytidophyllum,7/8'
10501,Coast of Maine Penobscot,1CF
10502,Coast of Maine Quoddy - Lobste,1CF
10503,Coast of Maine Acid-Loving,20qt
10504,Acer r. Frank Jr.,15 gal
10505,Acer r. October Glory,15 GAL
10506,Buxus x Green Velvet,6 GAL
10507,Buxus x Green Mountain,6 GAL
10508,Buxus s. Aureo Var. Cone,7 gal
10510,Cercis c. Black Pearl,BR
10511,Cercis c. Vanilla Twist,15 gal
10512,Cercis c. Midnight Express®,"2/2.5"""
10513,Cercis c. Hearts of Gold,15 gal
10514,Malus dom. Granny Smith Esp,"1"" Esp"
10515,Cercis c. Pink Pom Poms,15 gal
10516,Juniperus c. Blue Point,6gal
10517,Picea abies Cupressina,4/5'
10518,Juniperus c. Spartan,6 GAL
10519,Juniperus v. Taylor,15 gal
10520,Acer pal. Bloodgood TF,5/6'
10521,Pieris x. Brouwers Beauty,"18/21"""
10522,Rhododendron cat. Album,"24/30"""
10523,Rhododendron x P.J.M.,6 GAL
10525,Rhus a. Gro-Low,3 GAL
10526,Cephalotaxus h. Fastigiata,3.5/4'
10527,Chamaecyparis n. Glauca Pendul,8/10'
10528,Cornus k. Samaritan®,5/6'
10529,Cotinus x Grace,8/10'
10530,Hydrangea p. Van. Straw.™ FE,6/7' stnd
10531,Juniper c. Rosefield Perfect,7/8'
10532,Juniper c. Torulosa,7/8'
10533,Juniperus c. Trautman,7/8'
10534,Juniper s. Candelabra,10/12'
10535,Juniperus v. Taylor,9/10'
10536,Picea p. Montgomery,3/3.5'w
1054,Taxus x media Everlow,"7 GAL 30/36"""
10552,Thuja x Green Giant,5 gal
10553,Rhododendron cat. Album,"21/24"""
10554,Rhododendron Purpureum Elegans,"21/24"""
10558,Rhododendron Stewartstonian,3 GAL
10563,Ilex crenata Sky Pencil,"7 gal 30/36"""
10564,Ilex crenata Steeds,"15 gal 42/48"""
10565,Ilex glabra Shamrock,"3 gal 18/24"""
10566,Ilex m. Centennial Girl,"15 gal 42/48"""
10567,Ligustrum ovalifolium,10 gal
10568,Lindera Benzoin,5 gal
10569,Pieris j. Scarlet O'Hara,3 GAL
10570,Rhododendron Roseum Elegans,5 gal
10571,Spiraea Double Play® Doozie PW,3 GAL
10572,Viburnum x carlcephalum,7 gal
10573,Weigela Spilled Wine® PW,5 gal
10574,Rhododendron Delaware Valley W,3 GAL
10577,Acer r. October Glory,10 gal
10578,Acer r. Franksred,10 gal
10579,Vaccinium corymb. Northcountry,3 GAL
10580,Vaccinium corymbosum Patriot,3 GAL
10581,Buxus m. Sprinter® PW,7 gal
10582,Buxus m. var. j. Wintergreen,7 gal
10583,Buxus NewGen Freedom,3 GAL
10584,Cercis canadensis,10 GAL
10585,Cercis c. Forest Pansy,10 gal
10586,Cercis c. Golden Falls,10 gal
10587,Cercis c. The Rising Sun,10 gal
10588,Cercis c. var. alba,10 gal
10589,Cercis c. Merlot,10 gal
10590,Cornus k. Satomi,10 gal
10591,Cotinus c. Royal Purple,7 gal
10592,Euonymus a. compactus,3 GAL
10593,GR-Helictotrichon s. Blue Oat,2 GAL
10594,Hydrangea p. Grandiflora TF,7 Gal TF
10595,Hydrangea q. Jetstream,3 GAL
10596,Hydrangea q. Ruby Slippers,10 gal
10597,Hydrangea q. Snow Queen,3 GAL
10598,Hydrangea q. Snow Queen,10 gal
10599,Juniperus scop. Wichita Blue,3 GAL
10600,Juniperus v. Taylor,10 gal
10601,Liriodendron t. Emerald City,15 gal
10602,Magnolia x Ann,10 gal
10603,Magnolia x Jane,10 gal
10604,Magnolia x Leonard Messel,10 gal
10605,Malus dom. Honeycrisp,5 gal
10606,GR-Miscanthus s. Variegatus,3 GAL
10608,Myrica pensylvanica,7 gal
10609,Picea glauca Conica,15 gal
10610,Picea glauca Conica,15 gal
10611,Pieris j. Mountain Fire,7 gal
10612,Platanus Exclamation!™,15 gal
10613,Prunus avium Bing Cherry,7 gal
10614,Prunus 'Redhaven' Peach,5 gal
10615,Prunus x Okame,10 gal
10616,Quercus bicolor,15 gal
10617,Quercus palustris,10 gal
10618,Quercus rubra,10 gal
10619,Rhododendron Roseum Elegans,7 gal
10620,Rhododendron maximum Pink,7 gal
10621,Rhododendron Nova Zembla,7 gal
10622,Rhus t. Tiger Eyes® Bailtiger,3 GAL
10623,Rhus t. Tiger Eyes® Bailtiger,6gal
10625,Thuja plicata Forever Goldy®,7 gal
10626,Tsuga canadensis,7 gal
10627,Viburnum carlesii Tessa,7 gal
10628,Cercis c. Golden Falls,"2/2.5"""
10629,Chamaecyparis o. Chirimen,3/4'
10630,Hibiscus s. Aphrodite,5/6'
10631,Juniperus v. Emerald Sentinel,8/10'
10632,Juniperus v. Taylor,7 gal
10633,Prunus persica Elberta Peach,7 gal
10634,Weigela Spilled Wine® PW,3 GAL
10635,Buxus Cranberry Creek,3 GAL
10636,Buxus NewGen Freedom,5 gal
10637,Buxus Newgen Independence,3 GAL
10638,Cornus s. Midwinter Fire,3 GAL
10639,Cotoneaster apiculatus,2 GAL
10640,Helleborus Frostkiss Vibey Vel,1 GAL
10641,Heucherella Fun and Games Eye,1 GAL
10643,Hydrangea arb. Flowerfull,3 GAL
10651,Juniperus c. Sea Green,"30/36"""
10652,Ligustrum amurense,5/6'
10653,Ligustrum amurense,4/5'
10654,Thuja x Green Giant,5/6'
10667,Vaccinium angustifolium,3 GAL
10668,Picea omorika,10/12'
10669,Abies balsa. Piccolo,3 GAL
10670,Abies korea. Golden Glow,6 GAL
10671,Abies nordm. Golden Spreader,6 GAL
10672,Abies procera Glauca,6 GAL
10673,Buxus semp. Variegata,6 GAL
10674,Chamaecyparis p. Blue Moon,3 GAL
10675,Enkianthus c. Jan's Red Iseli,3 GAL
10676,Juniperus c. Trautman,3 GAL
10677,Juniperus h. Gold Strike,3 GAL
10678,Juniperus squamata Blue Star,"3 Gal 24"" Std"
10680,Picea abies Elegans,6 GAL
10681,Picea abies Pendula,6 GAL
10682,Picea abies Pumila,6gal
10683,Picea glauca Rainbows End®,3 GAL
10684,Wisteria f. Grande Diva Jessye,6 GAL
10692,Hypericum kalm.Sunny Boulev®,2 GAL
10693,Itea v. Fizzy Mizzy® PW,3 GAL
10694,Leucothoe axillaris,3 GAL
10695,Rhus a. Gro-Low,2 GAL
10697,Abies p. Glauca Prostrate Form,6 GAL
10717,Rhododendron Holden's Red,2 GAL
10718,Stylophorum Diphyllum,1 GAL
10719,Syringa x Hyacinth Royal Purpl,3 GAL
10720,Ilex glabra Compacta,5 gal
10722,Amelanchier canadensis,7 gal
10723,Aronia a. Brilliantissima,3 GAL
10724,Clethra a. Sixteen Candles,5 gal
10725,Hamamelis virginiana,10 gal
10726,Hydrangea arb. Haas Halo,3 GAL
10730,Cornus kousa TF,10 GAL
10733,Pinus cembra,5 gal
10734,Pinus mugo var. pumilio,10 gal
10735,Schizophragma h. Flirty Girl,3 GAL
10740,Potentilla f. Happy Face® HePW,3 GAL
10741,Hydrangea petiolaris,3 GAL
10742,Cercis canadensis MS,8/10'
10743,Cercis canadensis MS,10/12'
10744,Quercus alba,2/2.5''
10744,Quercus alba,2/2.5''
10745,Quercus bicolor,"2/2.5"""
10746,Acer griseum,10 gal
10748,Rhododendron Blaauw's Pink,3 GAL
10749,Betula n. Heritage,BR
10755,Fothergilla x Mount Airy,5 gal
10759,Thuja x Junior Giant,3 GAL
10760,Chamaecyparis p. Soft Serve Go,3 GAL
10789,Hibiscus s. Purple Pillar® PW,3 GAL
10790,Penstemon d. Midnight Masq. PW,2 GAL
10791,Rosa florib. Julia Child,3 GAL
10807,Rhododendron x Mandarin Lights,2 GAL
10808,Chamaecyparis o. Gracilis,5 gal
10809,Chamaecyparis o. Nana Gracilis,7 gal
10810,Chamaecyparis o. Nana,5 gal
10811,Delphinium New Zealand Blue La,1 GAL
10812,Dianthus P.P. Funky Fushsia,1 GAL
10825,Calycanthus Floridus,3 GAL
10826,Calycanthus f. Hartlage Wine,3 GAL
10830,Euonymus kiaut. Manhattan,"5 Gal 18/24"""
10834,Buxus x Green Velvet,3 GAL
10835,Buddleia x Miss Violet,3 GAL
10836,Clethra a. Sixteen Candles,7 gal
10840,Hydrangea m. Wee Bit Grumpy PW,3 GAL
10841,Ilex glabra Densa,3 GAL
10843,Hydrangea arb. Haas Halo,2 GAL
10851,Philadelphus x Minnesota Snowf,1 GAL
10855,Aesculus parviflora,7 gal
10858,Cornus a. Ivory Halo®,5 GAL
10859,Deutzia gracilis,3 GAL
10861,Kolkwitzia a. Pink Cloud,3 GAL
10862,Leucothoe f. Girard's Rainbow,3 GAL
10863,Wisteria m. Blue Moon,7 gal
10864,Buxus x Green Velvet,1 GAL
10881,Fothergilla gardenii,3 GAL
10882,Hibiscus s. Aphrodite,3 GAL
10887,Hypericum p. Hidcote,3 GAL
10888,Kalmia latifolia Keepsake,3 GAL
10889,Vaccinium angustifolium,1 GAL
10907,Aronia m. Low Scape Mound® PW,"8"""
10910,Parthenocissus tricuspidata,1 GAL
10911,Rosa x Oso Easy Italian Ice® P,2 GAL
10912,Rosa x Oso Easy Hot Paprika® P,2 GAL
10943,Betula populifolia Whitespire,BR
10945,Chaenomeles Dbl Take Peach,2 GAL
10957,Rosa x Oso Easy Ice Bay® PW,2 GAL
10958,Rosa The Fairy,3 GAL
10959,Thuja o. Fire Chief™,3 GAL
10961,Thymus praecox Elfin,"3"""
10972,Rhododendron x P.J.M. Elite,3 GAL
10973,Spiraea x bum Goldmound,3 GAL
10974,Buddleia d. Psychedelic Sky™,3 GAL
10975,Buddleia d. Trippy Pink,3 GAL
10976,Hydrangea a. Annabelle,6 GAL
10984,Caryopteris x cl. Dark Knight,2 GAL
10989,Hydrangea p. Quick Fire® PW,5 gal
10990,Juniperus h. Wiltoni,3 GAL
10991,Rosa x Knock Out Orange Glow,2 GAL
11002,Cercis c. Ruby Falls,"2/2.5"""
11032,Myrica Pensylvanica - MALE,7 gal
11036,Viburnum pl. f. tom. Mariesii,10 gal
11054,Hydrangea p. Limelight Pr.® PW,BR
11058,Juniperus procumbens Nana,3 GAL
11059,Rhododendron Roseum Pink,5 gal
11060,Rhododendron x P.J.M. Elite,5 gal
11061,Taxus x media Densiformis,10 gal
11067,Cornus fl. Cherokee Brave,7 gal
11069,Lonicera s. Major Wheeler,1 GAL
11072,Cornus fl. Cherokee Princess,7 gal
11075,Rosa x Knock Out Orange Glow,3 GAL
11078,Hydrangea a. Incrediball Storm,3 GAL
11079,Potentilla f. Happy Face® Y PW,2 GAL
11080,Potentilla f. Happy Face® HePW,2 GAL
11083,Fothergilla x int. Blue Shadow,2 GAL
11084,Juniperus v. Blue Arrow,4.5/5'
11086,Potentilla f. Abbotswood,3 GAL
11087,Potentilla f. Happy Face® W PW,3 GAL
11090,Abies balsamea v. phanerolepis,6/7'
11097,Aesculus parviflora,5 gal
11100,Betula papyrifera,10 gal
11101,Buxus m. Sprinter® PW,10 gal
11104,Chamaecyparis o. Kosteri,10 gal
11105,Chamaecyparis o. Tempelhof,10 gal
11106,Chamaecyparis p. Gold Thread,3 GAL
11107,Cornus a. Ivory Halo®,3 GAL
11108,Cornus a. Ivory Halo®,5 GAL
11109,Cotinus c. Velveteeny,3 GAL
11110,Juniperus scop. Moonglow,7 gal
11111,Juniperus scop. Moonglow,10 gal
11112,Juniperus scop. Wichita Blue,6gal
11113,Magnolia x loebneri Merrill,10 gal
11122,Picea abies Little Gem,5 gal
11123,Picea p. Globosa,6 GAL
11124,Picea p. Globosa On Standard,5 gal
11125,Pinus mugo var. pumilio,5 gal
11129,Salix i. Hakuro Nishiki,3 GAL
11130,Salix i. Hakuro Nishiki,7 GAL
11131,Tsuga canadensis Jeddeloh,7 gal
11132,Wisteria f. Longwood Purple,7 gal
11133,Wisteria m. Summer Cascade FE,3 GAL
11139,Rhododendron Rosebud,5 gal
11140,Rhododendron Tradition,3 GAL
11142,Buxus x Green Velvet,7 GAL
11143,Chamaecyparis o. Gracilis Comp,3 GAL
11144,Helleborus 'Ice'N'Roses Bennot,1 GAL
11145,Helleborus 'Ice'N'Roses PinkPr,1 GAL
11146,Helleborus 'Ice'N'Roses Rosali,1 GAL
11147,"Helleborus 'Berry Smoothie""",1 GAL
11149,Juniperus Blue Pacific,3 GAL
11151,Miscanthus sinensis ' Little Z,2 GAL
11153,Heuchera 'Stainless Steel',1 GAL
11154,Chamaecyparis o. Gracilis Comp,5/6'
11155,Cornus kousa va. Chinensis,"2/2.5"""
11156,Magnolia x Ann,8/10'
11157,Magnolia x loebneri Merrill,8/10'
11158,Acer p. Bloodgood,15 Gal 4.5/5'
11159,Acer p. Bloodgood,15 Gal 5/6'
11160,Acer pal. Trompenberg,15 Gal 5/6'
11161,Acer Plat. Crimson Sentry,15 gal
11162,Apple Semi Dwarf Firestorm,20 Gal ESPAL
11163,Apple Semi Dwarf Fuji,20 Gal ESPAL
11164,Apple Semi Dwarf Honeycrisp,20 Gal ESPAL
11165,Buxus Semp Elegantis Cone,6 GAL
11166,Hydrangea AR Candy Bubblegum,5 gal
11167,Wisteria f. 'Amethyst Falls',15 Gal STK
11168,Wisteria m. Betty Mathews,15 Gal STK
11169,Pyrus com. RED Bartlett ESP,20 Gal ESPAL
11170,Acer p. Crimson Queen,6gal
11171,Acer p. Katsura,20 gal
11172,Acer p. Katsura,15 gal
11173,Acer p. 'Mikawa yatsubusa',15 gal
11174,Acer p. 'Mikawa yatsubusa',6 GAL
11175,Acer p. 'Rhode Island Red',6 GAL
11176,Acer s. 'Aureum' BLANK ORANGE,20 gal
11177,Acer s. 'Aureum' BLANK ORANGE,20 gal
11178,Acer x pse Ice Dragon,20 gal
11179,Acer x pse Ice Dragon,6 GAL
11181,Chamaecyparis o. 'Iseli Green',5/6' B&B
11182,Chamaecyparis o. 'Iseli Green',3/4'
11185,Paeon x. 'Sequestered Sunshine,3 GAL
11186,Paeon x. 'Vanilla Manila',3 GAL
11187,Paeon x. 'Gold Drift',6 GAL
11188,Picea o. 'Skylands',10 gal
11189,Pinus mugo 'Valley Cushion',6 GAL
11190,Pinus mugo 'Fukuzumi',6 GAL
11204,Cercidiphyllum japonicum,7/8' LB
11205,Cornus k. Lustgarten Weeping,5/6'
11206,Acer p. v. d. Tamukeyama,6/7' stnd
1162,Acer pal. Bloodgood,"2/2.5""C"
1187,Fagus s. Tortuosa,"2.5/3"""
1495,Acer saccharum Green Mountain,"2.5/3"""
1551,Pinus s. Blue Shag,6 GAL
1552,Pinus s. Blue Shag,10 GAL
1553,Pinus s. Mini Twists,6 GAL
1558,Tsuga canadensis Jeddeloh,6 GAL
1621,Malus sargentii Firebird®,"2"""
1685,Ilex m. Blue Maid,4/5'
1703,Carpinus betulus,BR
1707,Pinus strobus,10/12'
1753,Rosa x Double Knock Out® Red,3 GAL
1754,Rosa x Knock Out® Red,3 GAL
1755,Rosa x Knock Out® Peachy,3 GAL
1756,Rosa x Double Knock Out® Pink,3 GAL
1758,Rosa x Knockout® Pink,3 GAL
1765,Buxus x Green Mountain,10 gal
2080,Carpinus b. Fastigiata,BR
2120,Hydrangea a. Invin.Mini Ma® PW,3 GAL
2445,Hydrangea q. Snow Queen,5 GAL
2547,Cornus k. Satomi,"2/2.5"""
2559,Pinus parv. Glauca Brevifolia,4/5'
2729,Chamaecyparis p. Golden Mop,3 GAL
2730,Buxus x Green Mound,10 GAL
2881,Rosa x Knock Out® Coral,3 GAL
2885,Fagus s. Purple Fountain,"2/2.5"""
291,Aronia m. Autumn Magic,3 GAL
2940,Cotoneaster a. Tom Thumb,2 GAL
2979,Itea v. Little Henry® PW,3 GAL
2981,Clethra a. Hummingbird,3 GAL
3166,Hibiscus s. Blue Chiffon® PW,3 GAL
3212,Cotinus c. Winecraft Black®PW,3 GAL
3227,Pinus s. Nana,6 GAL
3500,Rhamnus f. Fine Line® PW,3 GAL
3534,Clethra a. Hummingbird,7 GAL
368,Caryopteris x cl. Dark Knight,3 GAL
3808,Picea p. Montgomery,"24/30"""
3822,Chamaecyparis o. Crippsii,6/7'
3828,Chamaecyparis t. Glauca,8/10'
3832,Cornus k. Scarlet Fire®,"2/2.5"""
3834,Cornus kousa TF,"2.5/3"""
3836,Cornus x Stellar Pink®,"2/2.5"""
3838,Ginkgo b. Elmwood,"2.5/3"""
3838,Ginkgo b. Elmwood,"2.5/3"""
3841,Hibiscus s. Lavender Chiff® PW,4/5'
3842,Hibiscus s. Diana,5/6'
3844,Hydrangea p. Phantom TF,6/7' STND
3850,Magnolia x Galaxy,"3/3.5"""
3855,Picea glauca Pendula,"6/7"" B/B"
3858,Picea o. Nigra Compact,3/3.5' W
3865,Salix i. Hakuro Nishiki,8/10' STND
3871,Viburnum pl. f. tom. Shasta,5/6'
3882,Chamaecyparis o. Kosteri,6 GAL
3883,Chamaecyparis o. Nana Gracilli,6 GAL
3887,Celtis occidentalis,"3/3.5"""
3896,Rhododendron Cunningham's Wh,3 GAL
3902,Malus dom. Gala,"1.5"" ESP"
3903,Malus dom. Macintosh,"1.5"" Esp."
3915,Chamaecyparis o. Nana Lutea,6 GAL
3921,Juniperus c. Trautman,5/6'
3926,Picea orientalis Firefly,3 GAL
3929,Picea p. Globosa,10 GAL
3930,Picea p. Procumbens,6 GAL
3931,Picea p. Sester Dwarf,6 GAL
3936,Taxus c. nana Aurescens,6 GAL
3937,Tsuga canad. Cole's Prostrate,6 GAL
3938,Tsuga canadensis gracilis,6 GAL
3939,Tsuga diversifolia Loowit,3 GAL
3954,Pyrus com. Bartlett ESP,20 gal
3957,Syringa meyeri Palibin,10 GAL TF
3995,Picea orientalis Gowdy,3 GAL
3996,Picea p. Christina,6 GAL
4275,Thuja x Green Giant,15 GAL 4/5'
4283,Rhododendron y. v. poukhanense,3 GAL
4357,Ilex glabra Gem Box® PW,2 GAL
5169,Rosa x Petite Knock Out®,2 GAL
5187,Chamaecyparis t. Glauca Pendul,7-8'
5196,Pinus s. Vercurve,4/4.5' W
5199,Viburnum pl. f. tom. Shasta,4/5'
5215,Buxus x Green Mountain,10 GAL 2/2.5'
5244,Viburnum pl. f. tom. Mariesii,4/5'
5262,Thuja x Green Giant,7 GAL
5344,Cotinus x Grace,7/8'
5400,Rhododendron Nova Zembla,"10GAL 30/36"""
5506,Thuja x Green Giant,3 GAL
5514,Clematis sp. Jolly Good™,2 GAL
5530,Taxus x media Densiformis,"15"""
5532,Hydrangea q. Alice,3 GAL
5540,Deutzia Yuki Cherry Blossom®PW,3 GAL
5554,Lupinus p. Staircase™ Orange,"8"""
5560,Clethra a. Hummingbird,"3 GAL 15/18"""
5566,Rosa x Petite Knock Out®,3 GAL TF
5597,Picea a. Formanek,7 GAL
5643,Buddleia d. Flutterby® Pink,3 GAL
5644,Hibiscus s. Diana,3 GAL
5663,Clethra a. Ruby Spice,7 GAL
5666,Ilex m. Blue Princess,5 GAL
568,Clethra a. Vanilla Spice® PW,3 GAL
5772,Hydrangea a. Invin. Wee White®,2 GAL
5775,Syringa meyeri Palibin,7 GAL STD
5799,Cotinus c. Royal Purple,10 GAL
6050,Buddleia x Pugster® Amethyst,3 GAL
6075,Acer pal. Bloodgood,"2/2.5""LB"
6076,Heptacodium micionoides,7/8'
6077,Sambucus n. Black Lace® PW,4/5'
6089,Malus dom. Spartan,"1.5"" Esp."
6091,Fagus s. Purple Fountain,7/8'
6099,Pinus s. Nana,"18/24"""
6102,Thuja x Green Giant,4/5'
6105,Picea a. Formanek,10 GAL
6109,Cornus fl. Appalachian Snow,"1.75/2"""
6110,Cornus k. x Rosy Teacup®,"2/2.5"""
6115,Malus x Donald Wyman,"2/2.5"""
6115,Malus x Donald Wyman,"2/2.5"""
6118,Pinus n. Oregon Green,4/5'
6119,Pinus s. Vercurve,3.5/4' W
6120,Stewartia pseudocamellia,7/8'
6121,Chamaecyparis p. Golden Mop,6 GAL
6126,Picea p. Globosa,3 GAL
6128,Picea p. Montgomery,10 gal
6131,Chamaecyparis o. Nana Gracilli,15 GAL
6168,Fagus s. Tricolor,4/5'
630,Diervilla Kodiak® Black PW,3 GAL
6316,Hibiscus s. Helene,3 GAL
6322,Hydrangea p. L. Quick Fire® PW,BR
6333,Hibiscus s. Lavender Chiff® PW,3 GAL
6334,Picea orientalis Gowdy,7/8'
6335,Chamaecyparis o. Nana Gracilli,10'
636,Euonymus a. compactus,7 GAL
6362,Prunus Black Tartarian Cherry,7 gal
6382,Myrica cerifera,3 GAL
6392,Buddleia x Pugster® Pinker,3 GAL
6420,Clematis terniflora,3 GAL
6445,Pinus s. Vercurve,5 GAL
6452,Thuja o. Smaragd,7 GAL
661,Fothergilla x Mount Airy,3 GAL
6681,Picea abies,7/8'
6681,Picea abies,7/8'
6682,Picea abies,8/10'
6682,Picea abies,8/10'
6716,Crataegus v. Winter King,BR
6730,Viburnum pl. f. tom. Mariesii,5 GAL
6733,Fagus s. Purple Fountain,10/12'
6744,Sciadopitys v. Winter Green,15 GAL
6749,Chamaecyparis n. Pendula,10-12'
6750,Chionanthus virgincus,6/7'
6751,Cornus fl. Appalachian Snow,"2-2.5"""
6752,Cornus fl. Cherokee Chief,"2.5-3"""
6753,Cornus k. Summer Fun,6-7' T/F
6755,Fothergilla x int. Blue Shadow,2.5/3'
6756,Hamamelis x in. Arnold Promise,4/5'
6757,Hibiscus s. Blue Chiffon® PW,4-5'
6758,Hydrangea p. Limelight® PW,6-7' STND
6764,Picea p. Globosa,3-3.5'
6765,Pinus n. Oregon Green,7 gal
6766,Pinus s. Nana,3.5-4'
6768,Styrax jap. Evening Light,6/7'
6769,Styrax jap. Fragrant Fountain,6/7'
6773,Tsuga canadensis Sargentii,3-4'
6774,Viburnum d. Blue Muffin® PW,5/6'
6775,Viburnum pl. f. tom. Popcorn,5/6'
6787,Picea abies,10/12'
6801,Pinus cembra Prairie States®,4/5'
6802,Pinus longaeva Joe's Bess,3-4' B&B
6806,Chamaecyparis n. Pendula,3 GAL
6808,Acer p. v. d. Tamukeyama,3/4'W STND
6810,Acer saccharum Bailsta,"3.5/4"""
6811,Aesculus parviflora,BR
6813,Carpinus b. Fastigiata,"2.5/3"""
6814,Chamaecyparis n. Pendula,8-10'
6815,Cornus fl. Cherokee Princess,"2.5-3"""
6816,Cornus k. Samaritan®,"2.5/3"""
6817,Fagus s. Dawyck Purple,"2.5/3"""
6818,Ginkgo b. Spring Grove,5/6'
6819,Hamamelis x in. Diane,4/5'
6820,Hibiscus s. Blue Chiffon® PW,BR
6821,Juniperus scop. Wichita Blue,8-10'
6822,Nyssa s. Wild Fire,"2/2.5"""
6823,Pinus syl. Jericho,3.5/4'
6824,Pinus syl. Jericho,3/3.5
6826,Pinus s. Nana,3-3.5'
6827,Pinus s. Nana,4-4.5'
6828,Thuja o. Smaragd,9-10'
6829,Thuja o. Yellow Ribbon,3 GAL
6830,Chamaecyparis o. Nana Gracilli,"5/6"""
6831,Heptacodium micionoides,7/8'
6832,Heptacodium micionoides,5/6'
6846,Acer saccharum Bailsta,"2.5/3"""
6854,Buxus x Green Velvet,"10GAL 21/24"""
6855,Ilex m. Blue Princess,10GAL 3/4'
6856,Pieris j. Katsura,3 GAL
6858,Rhododendron English Roseum,"10GAL 36/42"""
6859,Rhododendron x P.J.M.,"30/36"" B&B"
6860,Rhododendron Roseum Elegans,"10GAL 36/42"""
6878,Quercus rubra,"2.5/3"""
6879,Quercus palustris,"2.5/3"""
6899,Cornus k. Samaritan®,6/7'
6901,Ilex m. Blue Maid,5/6'
6902,Thuja x Green Giant,14/16'
6904,Magnolia x acuminata Lois,"2.5/3"""
6907,Rhododendron y. v. poukhanense,"5 GAL 21/24"""
6908,Chamaecyparis p. Golden Mop,"3 GAL 12/15"""
6909,Deutzia Yuki Snowflake®PW,3 GAL
6910,Ilex crenata Sky Pencil,5 GAL 2.5/3'
6912,Ilex m. Blue Princess,"5 GAL 18/24"""
6913,Rhododendron English Roseum,3 GAL
6914,Vaccinium corymbosum Bluecrop,3 GAL
6915,Dianthus Pink Kisses®,3 GAL
6957,Tsuga canadensis,8/10'
6957,Tsuga canadensis,8/10'
6960,Ajuga rep. Burgundy Glow,24 CELL TRAY
6970,Buddleia x Miss Molly,3 GAL
6971,Ilex glabra Shamrock,2 GAL
6972,Rhododendron English Roseum,5 GAL
6977,Rhododendron y. v. poukhanense,5 GAL
6981,Rhododendron Purpureum Elegans,3 GAL
6982,Rhododendron y. Yaku Princess,2 GAL
6983,Rosa r. Alba,3 GAL
6986,Wisteria f. Longwood Purple,3 GAL
6989,Acer pal. Bloodgood,7' SCREEN
6997,Buddleia d. Flutterby® White,3 GAL
6998,Ilex m. Blue Prince/Princess,3 GAL
6999,Thuja o. Smaragd,3 GAL
7017,Ilex m. Blue Prince,5 GAL
7025,Hydrangea m. Bloomstruck® ES,3 GAL
7026,Hydrangea m. Summer Crush® ES,3 GAL
10076,# Crusher Run - Item 4 - Stone,Ton
10101,# Pea Stone,Ton
10102,# Stone Dust,Ton
10105,#2 Round Stone,Ton
10106,#1 Crushed Stone Blue,Ton
10109,#1 Round Stone,Ton
10233,#2 Crushed Stone Blue,Ton
10537,"Native Round Stone 1/4""",Ton
10538,"Native Round Stone 3/8""",Ton
10068,Tarp - 12' x 16',12' X 16'
10069,Tarp - 16' x 20',16' X 20'
10070,Tarp - 16' x 25',16' X 25'
10082,Coast of Maine Raised Bed Mix,2CF
10083,Coast of Maine Manure Compost,1CF
10084,Coast of Maine Potting Soil,2CF
10085,Espoma Bio-Tone Starter,4#
10086,Espoma Garden Tone,4#
10087,Espoma Holly Tone,4#
10088,Espoma Plant Tone,4#
10089,Espoma 10-10-10 Garden Food,6.75#
10090,M-Arber Bio Fungicide,16 oz
10091,M-Arber Bio Insecticide,16 oz
10092,M-Arber Spray Bottle,32 oz.
10093,M-Bonide Captain Jack Citrus,Qt.
10094,M-Bonide Captain Jack Dust,1.5LB
10096,Espoma Garden Lime,5#
10097,Espoma Azalea Tone,8#
10098,Espoma Organic Lawn Food,28#
10099,Lambert Organic All Purpose Mi,1CF
10100,Lambert Peat Moss,2.2CF
